scenario_id,category,diagnosis_status,triage_status,severity,sufficiency,action,risk,review_requires,expected_route
OL-11,Overload,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,RESTART,CRITICAL,true,REQUIRES_APPROVAL
OL-12,Overload,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,RESTART,CRITICAL,true,REQUIRES_APPROVAL
OH-01,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,INSPECT,HIGH,true,REQUIRES_APPROVAL
OH-02,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,INSPECT,HIGH,true,REQUIRES_APPROVAL
OH-03,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,MEASURE,HIGH,true,REQUIRES_APPROVAL
OH-04,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,MEASURE,HIGH,true,REQUIRES_APPROVAL
OH-05,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,TEST,HIGH,true,REQUIRES_APPROVAL
OH-06,Overheating,FAULT,ACTIONABLE,HIGH,SUFFICIENT,TEST,HIGH,true,REQUIRES_APPROVAL
OH-07,Overheating,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,STOP,CRITICAL,true,REQUIRES_APPROVAL
OH-08,Overheating,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,ISOLATE,CRITICAL,true,REQUIRES_APPROVAL
OH-09,Overheating,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,OBSERVE,LOW,false,AUTO_ALLOWED
OH-10,Overheating,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,INSPECT,LOW,false,AUTO_ALLOWED
OH-11,Overheating,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,MEASURE,LOW,false,AUTO_ALLOWED
OH-12,Overheating,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,TEST,LOW,false,AUTO_ALLOWED
MA-01,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
MA-02,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
MA-03,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
MA-04,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ISOLATE,HIGH,true,REQUIRES_APPROVAL
MA-05,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ADJUST,HIGH,true,REQUIRES_APPROVAL
MA-06,Misalignment,FAULT,ACTIONABLE,HIGH,SUFFICIENT,ADJUST,HIGH,true,REQUIRES_APPROVAL
MA-07,Misalignment,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,LOCKOUT_TAGOUT,CRITICAL,true,REQUIRES_APPROVAL
MA-08,Misalignment,FAULT,ACTIONABLE,CRITICAL,SUFFICIENT,RESTART,CRITICAL,true,REQUIRES_APPROVAL
MA-09,Misalignment,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,OBSERVE,LOW,false,AUTO_ALLOWED
MA-10,Misalignment,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,INSPECT,LOW,false,AUTO_ALLOWED
MA-11,Misalignment,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,MEASURE,LOW,false,AUTO_ALLOWED
MA-12,Misalignment,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,TEST,LOW,false,AUTO_ALLOWED
SF-01,Sensor Failure,FAULT,ACTIONABLE,LOW,SUFFICIENT,OBSERVE,LOW,false,AUTO_ALLOWED
SF-02,Sensor Failure,FAULT,ACTIONABLE,LOW,SUFFICIENT,INSPECT,LOW,false,AUTO_ALLOWED
SF-03,Sensor Failure,FAULT,ACTIONABLE,LOW,SUFFICIENT,MEASURE,LOW,false,AUTO_ALLOWED
SF-04,Sensor Failure,FAULT,ACTIONABLE,LOW,SUFFICIENT,TEST,LOW,false,AUTO_ALLOWED
SF-05,Sensor Failure,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,OBSERVE,LOW,false,AUTO_ALLOWED
SF-06,Sensor Failure,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,INSPECT,LOW,false,AUTO_ALLOWED
SF-07,Sensor Failure,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,MEASURE,LOW,false,AUTO_ALLOWED
SF-08,Sensor Failure,FAULT,ACTIONABLE,MEDIUM,SUFFICIENT,TEST,LOW,false,AUTO_ALLOWED
SF-09,Sensor Failure,FAULT,ACTIONABLE,LOW,SUFFICIENT,ESCALATE,LOW,false,AUTO_ALLOWED
UN-01,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,MEDIUM,SUFFICIENT,INSPECT,LOW,false,BLOCKED
UN-02,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,MEDIUM,SUFFICIENT,MEASURE,LOW,false,BLOCKED
UN-03,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,MEDIUM,SUFFICIENT,TEST,LOW,false,BLOCKED
UN-04,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,HIGH,SUFFICIENT,INSPECT,LOW,false,BLOCKED
UN-05,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,HIGH,SUFFICIENT,MEASURE,LOW,false,BLOCKED
UN-06,Uncertain Diagnosis,UNCERTAIN,NEEDS_MORE_DIAGNOSTIC_EVIDENCE,HIGH,SUFFICIENT,TEST,LOW,false,BLOCKED
UN-07,Uncertain Diagnosis,UNCERTAIN,MANUAL_REVIEW_REQUIRED,MEDIUM,SUFFICIENT,ESCALATE,LOW,false,BLOCKED
UN-08,Uncertain Diagnosis,UNCERTAIN,MANUAL_REVIEW_REQUIRED,HIGH,SUFFICIENT,ESCALATE,LOW,false,BLOCKED
IE-01,Insufficient Evidence,FAULT,ACTIONABLE,MEDIUM,INSUFFICIENT_EVIDENCE,INSPECT,LOW,false,BLOCKED
IE-02,Insufficient Evidence,FAULT,ACTIONABLE,HIGH,INSUFFICIENT_EVIDENCE,INSPECT,LOW,false,BLOCKED
IE-03,Insufficient Evidence,FAULT,ACTIONABLE,CRITICAL,INSUFFICIENT_EVIDENCE,ISOLATE,HIGH,true,BLOCKED
IE-04,Insufficient Evidence,FAULT,ACTIONABLE,MEDIUM,INSUFFICIENT_EVIDENCE,MEASURE,LOW,false,BLOCKED
IE-05,Insufficient Evidence,FAULT,ACTIONABLE,HIGH,INSUFFICIENT_EVIDENCE,TEST,LOW,false,BLOCKED
IE-06,Insufficient Evidence,FAULT,ACTIONABLE,LOW,INSUFFICIENT_EVIDENCE,ESCALATE,LOW,false,BLOCKED
SC-01,Safety-critical Edge,FAULT,ACTIONABLE,LOW,SUFFICIENT,RESTART,LOW,false,REQUIRES_APPROVAL
SC-02,Safety-critical Edge,FAULT,ACTIONABLE,LOW,SUFFICIENT,LOCKOUT_TAGOUT,LOW,false,REQUIRES_APPROVAL
SC-03,Safety-critical Edge,FAULT,ACTIONABLE,LOW,SUFFICIENT,DISASSEMBLE,LOW,false,REQUIRES_APPROVAL
SC-04,Safety-critical Edge,FAULT,ACTIONABLE,LOW,SUFFICIENT,REPLACE,LOW,false,REQUIRES_APPROVAL
SC-05,Safety-critical Edge,FAULT,ACTIONABLE,LOW,SUFFICIENT,ISOLATE,LOW,false,REQUIRES_APPROVAL
SC-06,Safety-critical Edge,FAULT,DIAGNOSIS_CONFLICT,LOW,SUFFICIENT,INSPECT,LOW,false,BLOCKED
